region,province,Data.Source,CFPP.name,MW,GEM.ID,Island,In.RUPTL.2021.2030,In.RUPTL.2025.2034,Biomass.Co.firing.Status,Biomass.type,Biomass.share,Gov..Prog.,Status.June.2023..JETP,Status.July.2024,COD,COD_RUPTL.2025,Retirement.target,Years.in.operation,Capacity.Group,YO.Group,Owner,Steam.Tech.,Boiler.Tech.,thermal_efficiency,APC,Notes,Latitude,Longitude,gas_unit,Hg.in.coal..ppb,Stack.height..m.,Stack.diameter..m.,Flue.exit.temp...U.2103..,Flue.velocity..m.s.,Link,GEM.Wiki,Captive.industry,Status.Jan.2024,Status.Jun.2023,Parent,Provinsi_ID,gem_unit_phase_id,gem_plant_unit_name,Status,Steam.Tech._GEM,COD_GEM,cofiring_name,cofiring_status,cofiring_share,biomass_type,cofiring_notes,cofiring_MW,cofiring_date,cofiring_future_target,cofiring_target_date,SO2_control,NOx_control,is_new,is_small,SOx_default,NOx_default,PM_default,pollutant,emissions_t,mg.Nm3,base_utilization,sfgv,fuel_input_GJ,fuel_kcal,hg_capture,GWh,emissions_t_per_GWh,grid,cluster,emission_names,is_new_cluster
Java-Bali-Sumatra,Aceh,NA,Nagan Raya Unit 3,200,G107179,Sumatra,Yes,NA,None,NA,NA,NA,construction,operating,2023,NA,NA,3,2,1,PLN,SubC,PC,0.38,NA,NA,4.115636,96.20241,NA,81.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G100000107179,Nagan Raya Unit 3,operating,subcritical,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,FALSE,FALSE,509.945,457,59.5,NOx,1943.6878580287266,457,0.6756018501657136,379.2857142857143,11213568.393066289,5000,0.1,1183.6544414903303,1.642107518796993,Java-Bali-Sumatra,nagan94,Nagan94,FALSE
Java-Bali-Sumatra,Aceh,NA,Nagan Raya Unit 3,200,G107179,Sumatra,Yes,NA,None,NA,NA,NA,construction,operating,2023,NA,NA,3,2,1,PLN,SubC,PC,0.38,NA,NA,4.115636,96.20241,NA,81.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G100000107179,Nagan Raya Unit 3,operating,subcritical,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,FALSE,FALSE,509.945,457,59.5,SOx,2168.8706887581156,509.945,0.6756018501657136,379.2857142857143,11213568.393066289,5000,0.1,1183.6544414903303,1.8323512443609022,Java-Bali-Sumatra,nagan94,Nagan94,FALSE
Java-Bali-Sumatra,Aceh,NA,Nagan Raya Unit 3,200,G107179,Sumatra,Yes,NA,None,NA,NA,NA,construction,operating,2023,NA,NA,3,2,1,PLN,SubC,PC,0.38,NA,NA,4.115636,96.20241,NA,81.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G100000107179,Nagan Raya Unit 3,operating,subcritical,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,FALSE,FALSE,509.945,457,59.5,PM,253.06220471052347,59.5,0.6756018501657136,379.2857142857143,11213568.393066289,5000,0.1,1183.6544414903303,0.21379736842105265,Java-Bali-Sumatra,nagan94,Nagan94,FALSE
Java-Bali-Sumatra,Aceh,NA,Nagan Raya Unit 3,200,G107179,Sumatra,Yes,NA,None,NA,NA,NA,construction,operating,2023,NA,NA,3,2,1,PLN,SubC,PC,0.38,NA,NA,4.115636,96.20241,NA,81.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G100000107179,Nagan Raya Unit 3,operating,subcritical,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,FALSE,FALSE,509.945,457,59.5,Hg,0.039320358434504696,NA,0.6756018501657136,379.2857142857143,11213568.393066289,5000,0.1,1183.6544414903303,3.321945751751392e-5,Java-Bali-Sumatra,nagan94,Nagan94,FALSE
Java-Bali-Sumatra,Aceh,NA,Nagan Raya Unit 3,200,G107179,Sumatra,Yes,NA,None,NA,NA,NA,construction,operating,2023,NA,NA,3,2,1,PLN,SubC,PC,0.38,NA,NA,4.115636,96.20241,NA,81.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G100000107179,Nagan Raya Unit 3,operating,subcritical,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,FALSE,FALSE,509.945,457,59.5,CO2,1060803.569984071,NA,0.6756018501657136,379.2857142857143,11213568.393066289,5000,0.1,1183.6544414903303,896.2105263157896,Java-Bali-Sumatra,nagan94,Nagan94,FALSE
Java-Bali-Sumatra,Aceh,NA,Nagan Raya Unit 4,200,G107180,Sumatra,Yes,NA,None,NA,NA,NA,construction,operating,2023,NA,NA,3,2,1,PLN,SubC,PC,0.38,NA,NA,4.115636,96.20241,NA,81.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G100000107180,Nagan Raya Unit 4,operating,subcritical,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,FALSE,FALSE,509.945,457,59.5,NOx,1943.6878580287266,457,0.6756018501657136,379.2857142857143,11213568.393066289,5000,0.1,1183.6544414903303,1.642107518796993,Java-Bali-Sumatra,nagan94,Nagan94,FALSE
Java-Bali-Sumatra,Aceh,NA,Nagan Raya Unit 4,200,G107180,Sumatra,Yes,NA,None,NA,NA,NA,construction,operating,2023,NA,NA,3,2,1,PLN,SubC,PC,0.38,NA,NA,4.115636,96.20241,NA,81.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G100000107180,Nagan Raya Unit 4,operating,subcritical,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,FALSE,FALSE,509.945,457,59.5,SOx,2168.8706887581156,509.945,0.6756018501657136,379.2857142857143,11213568.393066289,5000,0.1,1183.6544414903303,1.8323512443609022,Java-Bali-Sumatra,nagan94,Nagan94,FALSE
Java-Bali-Sumatra,Aceh,NA,Nagan Raya Unit 4,200,G107180,Sumatra,Yes,NA,None,NA,NA,NA,construction,operating,2023,NA,NA,3,2,1,PLN,SubC,PC,0.38,NA,NA,4.115636,96.20241,NA,81.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G100000107180,Nagan Raya Unit 4,operating,subcritical,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,FALSE,FALSE,509.945,457,59.5,PM,253.06220471052347,59.5,0.6756018501657136,379.2857142857143,11213568.393066289,5000,0.1,1183.6544414903303,0.21379736842105265,Java-Bali-Sumatra,nagan94,Nagan94,FALSE
Java-Bali-Sumatra,Aceh,NA,Nagan Raya Unit 4,200,G107180,Sumatra,Yes,NA,None,NA,NA,NA,construction,operating,2023,NA,NA,3,2,1,PLN,SubC,PC,0.38,NA,NA,4.115636,96.20241,NA,81.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G100000107180,Nagan Raya Unit 4,operating,subcritical,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,FALSE,FALSE,509.945,457,59.5,Hg,0.039320358434504696,NA,0.6756018501657136,379.2857142857143,11213568.393066289,5000,0.1,1183.6544414903303,3.321945751751392e-5,Java-Bali-Sumatra,nagan94,Nagan94,FALSE
Java-Bali-Sumatra,Aceh,NA,Nagan Raya Unit 4,200,G107180,Sumatra,Yes,NA,None,NA,NA,NA,construction,operating,2023,NA,NA,3,2,1,PLN,SubC,PC,0.38,NA,NA,4.115636,96.20241,NA,81.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G100000107180,Nagan Raya Unit 4,operating,subcritical,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,FALSE,FALSE,509.945,457,59.5,CO2,1060803.569984071,NA,0.6756018501657136,379.2857142857143,11213568.393066289,5000,0.1,1183.6544414903303,896.2105263157896,Java-Bali-Sumatra,nagan94,Nagan94,FALSE
